Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1966.0,13 Jul 1966 - 19:30 ,Group 2,Argentina,2.0,1.0,Spain
1966.0,13 Jul 1966 - 19:30 ,Group 4,Italy,2.0,0.0,Chile
1966.0,15 Jul 1966 - 19:30 ,Group 1,Uruguay,2.0,1.0,France
1966.0,15 Jul 1966 - 19:30 ,Group 2,Spain,2.0,1.0,Switzerland
1966.0,15 Jul 1966 - 19:30 ,Group 3,Hungary,3.0,1.0,Brazil
1966.0,15 Jul 1966 - 19:30 ,Group 4,Korea DPR,1.0,1.0,Chile
1966.0,16 Jul 1966 - 15:00 ,Group 3,Portugal,3.0,0.0,Bulgaria
1966.0,16 Jul 1966 - 15:00 ,Group 2,Germany FR,0.0,0.0,Argentina
1966.0,16 Jul 1966 - 15:00 ,Group 4,Soviet Union,1.0,0.0,Italy
1966.0,16 Jul 1966 - 19:30 ,Group 1,England,2.0,0.0,Mexico
1966.0,19 Jul 1966 - 16:30 ,Group 1,Uruguay,0.0,0.0,Mexico
1966.0,19 Jul 1966 - 19:30 ,Group 2,Argentina,2.0,0.0,Switzerland
1966.0,19 Jul 1966 - 19:30 ,Group 3,Portugal,3.0,1.0,Brazil
1966.0,19 Jul 1966 - 19:30 ,Group 4,Korea DPR,1.0,0.0,Italy
1966.0,20 Jul 1966 - 19:30 ,Group 1,England,2.0,0.0,France
1966.0,20 Jul 1966 - 19:30 ,Group 3,Hungary,3.0,1.0,Bulgaria
1966.0,20 Jul 1966 - 19:30 ,Group 2,Germany FR,2.0,1.0,Spain
1966.0,20 Jul 1966 - 19:30 ,Group 4,Soviet Union,2.0,1.0,Chile
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,England,1.0,0.0,Argentina
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Germany FR,4.0,0.0,Uruguay
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Soviet Union,2.0,1.0,Hungary
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Portugal,5.0,3.0,Korea DPR
1966.0,25 Jul 1966 - 19:30 ,Semi-finals,Germany FR,2.0,1.0,Soviet Union
1966.0,26 Jul 1966 - 19:30 ,Semi-finals,England,2.0,1.0,Portugal
1966.0,28 Jul 1966 - 19:30 ,Match for third place,Portugal,2.0,1.0,Soviet Union
1966.0,30 Jul 1966 - 15:00 ,Final,England,4.0,2.0,Germany FR
1970.0,31 May 1970 - 12:00 ,Group 1,Mexico,0.0,0.0,Soviet Union
1970.0,02 Jun 1970 - 16:00 ,Group 2,Uruguay,2.0,0.0,Israel
1970.0,02 Jun 1970 - 16:00 ,Group 4,Peru,3.0,2.0,Bulgaria
1970.0,02 Jun 1970 - 16:00 ,Group 3,England,1.0,0.0,Romania
1970.0,03 Jun 1970 - 16:00 ,Group 2,Italy,1.0,0.0,Sweden
1970.0,03 Jun 1970 - 16:00 ,Group 4,Germany FR,2.0,1.0,Morocco
1970.0,03 Jun 1970 - 16:00 ,Group 3,Brazil,4.0,1.0,Czechoslovakia
1970.0,03 Jun 1970 - 16:00 ,Group 1,Belgium,3.0,0.0,El Salvador
1970.0,06 Jun 1970 - 16:00 ,Group 2,Uruguay,0.0,0.0,Italy
1970.0,06 Jun 1970 - 16:00 ,Group 4,Peru,3.0,0.0,Morocco
1970.0,06 Jun 1970 - 16:00 ,Group 3,Romania,2.0,1.0,Czechoslovakia
1970.0,06 Jun 1970 - 16:00 ,Group 1,Soviet Union,4.0,1.0,Belgium
1970.0,07 Jun 1970 - 12:00 ,Group 2,Sweden,1.0,1.0,Israel
1970.0,07 Jun 1970 - 12:00 ,Group 4,Germany FR,5.0,2.0,Bulgaria
1970.0,07 Jun 1970 - 12:00 ,Group 3,Brazil,1.0,0.0,England
1970.0,07 Jun 1970 - 12:00 ,Group 1,Mexico,4.0,0.0,El Salvador
1970.0,10 Jun 1970 - 16:00 ,Group 2,Sweden,1.0,0.0,Uruguay
1970.0,10 Jun 1970 - 16:00 ,Group 4,Germany FR,3.0,1.0,Peru
1970.0,10 Jun 1970 - 16:00 ,Group 3,Brazil,3.0,2.0,Romania
1970.0,10 Jun 1970 - 16:00 ,Group 1,Soviet Union,2.0,0.0,El Salvador
1970.0,11 Jun 1970 - 16:00 ,Group 2,Italy,0.0,0.0,Israel
1970.0,11 Jun 1970 - 16:00 ,Group 4,Bulgaria,1.0,1.0,Morocco
1970.0,11 Jun 1970 - 16:00 ,Group 3,England,1.0,0.0,Czechoslovakia
1970.0,11 Jun 1970 - 16:00 ,Group 1,Mexico,1.0,0.0,Belgium
1970.0,14 Jun 1970 - 12:00 ,Quarter-finals,Italy,4.0,1.0,Mexico
1970.0,14 Jun 1970 - 12:00 ,Quarter-finals,Germany FR,3.0,2.0,England
1970.0,14 Jun 1970 - 12:00 ,Quarter-finals,Brazil,4.0,2.0,Peru
